subject	origonal_subject	subject_name	subject_category	subject_mapped_with_taxon	subject_mapped_with_database	subject_mapped_with_level	object	origonal_object	object_name	object_category	object_mapped_with_taxon	object_mapped_with_database	object_mapped_with_level	article_curie	config_curator_name	config_curator_organization	file_name	pmc_file_caption	sample_size	p_value	multiple_testing_correction_method	assertion_strength	assertion_method	notes	knowledge_level	agent_type
NCBITaxon:1578	Lactobacillus	Lactobacillus	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	2.6850926000000001E-2	FDR of 10 percent	4.9859345999999999E-2	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
NCBITaxon:1301	Streptococcus	Streptococcus	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	4.2707835999999999E-2	FDR of 10 percent	-0.23227451900000001	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
NCBITaxon:1279	Staphylococcus	Staphylococcus	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	1.8688875000000001E-2	FDR of 10 percent	-0.173586241	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
NCBITaxon:1578	Lactobacillus	Lactobacillus	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	1.3882440000000001E-3	FDR of 10 percent	9.2334011999999993E-2	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
NCBITaxon:1578	Lactobacillus	Lactobacillus	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	0.000279	FDR of 10 percent	8.3289168999999996E-2	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
NCBITaxon:1578	Lactobacillus	Lactobacillus	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	9.5125160000000004E-3	FDR of 10 percent	0.47241055599999998	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
NCBITaxon:1578	Lactobacillus	Lactobacillus	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	0.000009	FDR of 10 percent	0.12461741799999999	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
NCBITaxon:1678	Bifidobacterium	Bifidobacterium	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	1.9983589999999999E-3	FDR of 10 percent	-0.29506794800000002	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
NCBITaxon:1578	Lactobacillus	Lactobacillus	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	4.9495055000000003E-2	FDR of 10 percent	0.33827739099999998	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
NCBITaxon:1578	Lactobacillus	Lactobacillus	biolink:OrganismTaxon	not applicable	babel	L1	EFO:0005112	gestational age	gestational age	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC10434204	Skye Lane Goetz	Institute for Systems Biology	spectrum.03429-22-s0001.xlsx	not applicable	474	4.4770887000000002E-2	FDR of 10 percent	0.36669170899999998	LME model	Comparison of analyses evaluating the relationship between gestational age and the vaginal microbiota using absolute abundance analysis (Analysis of Composition of Microbiomes; ANCOM) and relative abundance analysis (Linear mixed-effects models; LME).	statistical_association	data_analysis_pipeline
