id	name	category
NCBITaxon:5583	Exophiala	biolink:OrganismTaxon
NCBITaxon:55193	Malassezia	biolink:OrganismTaxon
NCBITaxon:5206	Cryptococcus	biolink:OrganismTaxon
NCBITaxon:599802	Barnettozyma	biolink:OrganismTaxon
NCBITaxon:4842	Rhizopus	biolink:OrganismTaxon
NCBITaxon:5475	Candida	biolink:OrganismTaxon
UMLS:C3008874	Debaryomycetaceae	biolink:OrganismTaxon
NCBITaxon:5052	Aspergillus	biolink:OrganismTaxon
NCBITaxon:5073	Penicillium	biolink:OrganismTaxon
UMLS:C1013004	Orbilia	biolink:OrganismTaxon
NCBITaxon:4919	Pichia	biolink:OrganismTaxon
UMLS:C4421157	Pseudopithomyces	biolink:OrganismTaxon
NCBITaxon:36913	Lodderomyces	biolink:OrganismTaxon
NCBITaxon:5550	Trichophyton	biolink:OrganismTaxon
NCBITaxon:201174	Actinomycetota	biolink:OrganismTaxon
UMLS:C1079817	Sneathia	biolink:OrganismTaxon
NCBITaxon:236752	Fastidiosipila	biolink:OrganismTaxon
UMLS:C1008539	Dialister	biolink:OrganismTaxon
NCBITaxon:906	Megasphaera	biolink:OrganismTaxon
NCBITaxon:1378	Gemella	biolink:OrganismTaxon
NCBITaxon:1380	Atopobium	biolink:OrganismTaxon
NCBITaxon:2093	Mycoplasma	biolink:OrganismTaxon
NCBITaxon:1375	Aerococcus	biolink:OrganismTaxon
NCBITaxon:838	Prevotella	biolink:OrganismTaxon
UMLS:C1228943	Family Oscillospiraceae	biolink:OrganismTaxon
NCBITaxon:118747	Bulleidia	biolink:OrganismTaxon
NCBITaxon:2701	Gardnerella	biolink:OrganismTaxon
UMLS:C1077406	Peptoniphilus	biolink:OrganismTaxon
NCBITaxon:165779	Anaerococcus	biolink:OrganismTaxon
NCBITaxon:1578	Lactobacillus	biolink:OrganismTaxon
NCBITaxon:1678	Bifidobacterium	biolink:OrganismTaxon
NCBITaxon:1279	Staphylococcus	biolink:OrganismTaxon
NCBITaxon:150022	Finegoldia	biolink:OrganismTaxon
NCBITaxon:1301	Streptococcus	biolink:OrganismTaxon
UMLS:C1080666	Family Prevotellaceae	biolink:OrganismTaxon
NCBITaxon:28263	Arcanobacterium	biolink:OrganismTaxon
NCBITaxon:853	Faecalibacterium prausnitzii	biolink:OrganismTaxon
NCBITaxon:562	Escherichia coli	biolink:OrganismTaxon
NCBITaxon:40518	Ruminococcus bromii	biolink:OrganismTaxon
NCBITaxon:165179	Segatella copri	biolink:OrganismTaxon
UMLS:C0317478	Agathobacter rectalis	biolink:OrganismTaxon
NCBITaxon:821	Phocaeicola vulgatus	biolink:OrganismTaxon
NCBITaxon:1680	Bifidobacterium adolescentis	biolink:OrganismTaxon
NCBITaxon:239935	Akkermansia muciniphila	biolink:OrganismTaxon
NCBITaxon:39485	Lachnospira eligens	biolink:OrganismTaxon
NCBITaxon:46506	Bacteroides stercoris	biolink:OrganismTaxon
NCBITaxon:28117	Alistipes putredinis	biolink:OrganismTaxon
NCBITaxon:33039	[Ruminococcus] torques	biolink:OrganismTaxon
NCBITaxon:820	Bacteroides uniformis	biolink:OrganismTaxon
NCBITaxon:28116	Bacteroides ovatus	biolink:OrganismTaxon
NCBITaxon:817	Bacteroides fragilis	biolink:OrganismTaxon
NCBITaxon:47678	Bacteroides caccae	biolink:OrganismTaxon
NCBITaxon:216816	Bifidobacterium longum	biolink:OrganismTaxon
NCBITaxon:310298	Phocaeicola coprocola	biolink:OrganismTaxon
UMLS:C0317501	Eubacterium siraeum	biolink:OrganismTaxon
NCBITaxon:246787	Bacteroides cellulosilyticus	biolink:OrganismTaxon
NCBITaxon:46503	Parabacteroides merdae	biolink:OrganismTaxon
NCBITaxon:45851	Eshraghiella crossota	biolink:OrganismTaxon
NCBITaxon:204516	Phocaeicola massiliensis	biolink:OrganismTaxon
NCBITaxon:328813	Alistipes onderdonkii	biolink:OrganismTaxon
UMLS:C0995875	Methanobrevibacter smithii	biolink:OrganismTaxon
NCBITaxon:357276	Phocaeicola dorei	biolink:OrganismTaxon
NCBITaxon:39488	Anaerobutyricum hallii	biolink:OrganismTaxon
NCBITaxon:88431	Dorea longicatena	biolink:OrganismTaxon
NCBITaxon:46123	Abiotrophia	biolink:OrganismTaxon
NCBITaxon:713	Actinobacillus	biolink:OrganismTaxon
NCBITaxon:1654	Actinomyces	biolink:OrganismTaxon
NCBITaxon:361177	Altererythrobacter	biolink:OrganismTaxon
NCBITaxon:816	Bacteroides	biolink:OrganismTaxon
NCBITaxon:374	Bradyrhizobium	biolink:OrganismTaxon
NCBITaxon:194	Campylobacter	biolink:OrganismTaxon
NCBITaxon:79328	Chitinophaga	biolink:OrganismTaxon
UMLS:C1047126	Collinsella	biolink:OrganismTaxon
NCBITaxon:1716	Corynebacterium	biolink:OrganismTaxon
NCBITaxon:29393	Dolosigranulum	biolink:OrganismTaxon
NCBITaxon:212791	Enhydrobacter	biolink:OrganismTaxon
NCBITaxon:848	Fusobacterium	biolink:OrganismTaxon
NCBITaxon:209	Helicobacter	biolink:OrganismTaxon
NCBITaxon:43994	Johnsonella	biolink:OrganismTaxon
NCBITaxon:57493	Kocuria	biolink:OrganismTaxon
NCBITaxon:32067	Leptotrichia	biolink:OrganismTaxon
NCBITaxon:68	Lysobacter	biolink:OrganismTaxon
NCBITaxon:149698	Massilia	biolink:OrganismTaxon
NCBITaxon:33882	Microbacterium	biolink:OrganismTaxon
NCBITaxon:1269	Micrococcus	biolink:OrganismTaxon
NCBITaxon:475	Moraxella	biolink:OrganismTaxon
NCBITaxon:482	Neisseria	biolink:OrganismTaxon
NCBITaxon:1839	Nocardioides	biolink:OrganismTaxon
UMLS:C1474809	Oribacterium	biolink:OrganismTaxon
NCBITaxon:265	Paracoccus	biolink:OrganismTaxon
UMLS:C1001888	Phyllobacterium	biolink:OrganismTaxon
NCBITaxon:836	Porphyromonas	biolink:OrganismTaxon
NCBITaxon:75309	Rhodanobacter	biolink:OrganismTaxon
UMLS:C4085313	Rhodococcus <scale insects>	biolink:OrganismTaxon
NCBITaxon:204447	Skermanella	biolink:OrganismTaxon
UMLS:C1059410	Genus Solobacterium	biolink:OrganismTaxon
NCBITaxon:40323	Stenotrophomonas	biolink:OrganismTaxon
UMLS:C0995401	Roseburia	biolink:OrganismTaxon
NCBITaxon:1350	Enterococcus	biolink:OrganismTaxon
NCBITaxon:572511	Blautia	biolink:OrganismTaxon
NCBITaxon:216851	Faecalibacterium	biolink:OrganismTaxon
NCBITaxon:724	Haemophilus	biolink:OrganismTaxon
NCBITaxon:207244	Anaerostipes	biolink:OrganismTaxon
NCBITaxon:35832	Bilophila	biolink:OrganismTaxon
UMLS:C3946030	Terrisporobacter	biolink:OrganismTaxon
NCBITaxon:1432051	Eisenbergiella	biolink:OrganismTaxon
NCBITaxon:244127	Anaerotruncus	biolink:OrganismTaxon
NCBITaxon:3025755	Thomasclavelia	biolink:OrganismTaxon
NCBITaxon:292632	Subdoligranulum	biolink:OrganismTaxon
NCBITaxon:29465	Veillonella	biolink:OrganismTaxon
NCBITaxon:946234	Flavonifractor	biolink:OrganismTaxon
UMLS:C3943030	Romboutsia	biolink:OrganismTaxon
UMLS:C1004289	Phascolarctobacterium	biolink:OrganismTaxon
UMLS:C3930537	Peptoclostridium	biolink:OrganismTaxon
UMLS:C1927848	Parabacteroides	biolink:OrganismTaxon
NCBITaxon:117563	Granulicatella	biolink:OrganismTaxon
UMLS:C3768345	Genus Intestinimonas	biolink:OrganismTaxon
UMLS:C1214082	Turicibacter	biolink:OrganismTaxon
NCBITaxon:1769710	Sellimonas	biolink:OrganismTaxon
NCBITaxon:469	Acinetobacter	biolink:OrganismTaxon
NCBITaxon:547	Enterobacter	biolink:OrganismTaxon
UMLS:C1036500	Eggerthella	biolink:OrganismTaxon
UMLS:C2288424	Oscillibacter	biolink:OrganismTaxon
UMLS:C3946476	Lachnoclostridium	biolink:OrganismTaxon
UMLS:C0317586	Lachnospira	biolink:OrganismTaxon
NCBITaxon:40544	Sutterella	biolink:OrganismTaxon
NCBITaxon:570	Klebsiella	biolink:OrganismTaxon
UMLS:C3946031	Intestinibacter	biolink:OrganismTaxon
UMLS:C2660976	Parasutterella	biolink:OrganismTaxon
NCBITaxon:580596	Butyricicoccus	biolink:OrganismTaxon
UMLS:C2664663	Robinsoniella	biolink:OrganismTaxon
NCBITaxon:1649459	Hungatella	biolink:OrganismTaxon
NCBITaxon:1506577	Tyzzerella	biolink:OrganismTaxon
UMLS:C2700321	Nadia Zebrafish	biolink:OrganismTaxon
NCBITaxon:543311	Parvimonas	biolink:OrganismTaxon
NCBITaxon:342658	Gracilibacter	biolink:OrganismTaxon
UMLS:C1019220	Dehalobacter	biolink:OrganismTaxon
NCBITaxon:183669	Macromonas	biolink:OrganismTaxon
NCBITaxon:34096	Brevinema	biolink:OrganismTaxon
NCBITaxon:267849	Nitrincola	biolink:OrganismTaxon
UMLS:C0317737	Mitsuokella	biolink:OrganismTaxon
NCBITaxon:28138	Rikenella	biolink:OrganismTaxon
UMLS:C1496815	Acetanaerobacterium	biolink:OrganismTaxon
NCBITaxon:100175	Papillibacter	biolink:OrganismTaxon
NCBITaxon:346096	Paludibacter	biolink:OrganismTaxon
UMLS:C1458769	Allobaculum	biolink:OrganismTaxon
NCBITaxon:846	Oxalobacter	biolink:OrganismTaxon
UMLS:C1473846	Ethanoligenens	biolink:OrganismTaxon
UMLS:C3576107	Saccharofermentans	biolink:OrganismTaxon
UMLS:C1495787	Genus Lentisphaera	biolink:OrganismTaxon
NCBITaxon:86331	Mogibacterium	biolink:OrganismTaxon
NCBITaxon:157	Treponema	biolink:OrganismTaxon
UMLS:C2312288	Sharpea	biolink:OrganismTaxon
NCBITaxon:1017280	Pseudoflavonifractor	biolink:OrganismTaxon
NCBITaxon:109326	Anaerovorax	biolink:OrganismTaxon
UMLS:C0314849	Anaeroplasma	biolink:OrganismTaxon
NCBITaxon:377315	Mariprofundus	biolink:OrganismTaxon
NCBITaxon:1730	Eubacterium	biolink:OrganismTaxon
NCBITaxon:832	Fibrobacter	biolink:OrganismTaxon
UMLS:C3435185	Dongia	biolink:OrganismTaxon
NCBITaxon:204475	Gemmiger	biolink:OrganismTaxon
NCBITaxon:715222	Caldicoprobacter	biolink:OrganismTaxon
NCBITaxon:1121251	Cucumibacter	biolink:OrganismTaxon
NCBITaxon:213484	Vampirovibrio	biolink:OrganismTaxon
NCBITaxon:423604	Elusimicrobium	biolink:OrganismTaxon
UMLS:C2618361	Kiloniella	biolink:OrganismTaxon
NCBITaxon:200677	Meniscus	biolink:OrganismTaxon
NCBITaxon:574697	Butyricimonas	biolink:OrganismTaxon
NCBITaxon:830	Butyrivibrio	biolink:OrganismTaxon
GO:0046392	galactarate catabolic process	biolink:BiologicalProcess
GO:0019385	methanogenesis, from acetate	biolink:BiologicalProcess
PathWhiz:PW123547	Peptidoglycan Biosynthesis II	biolink:Pathway
GO:0019417	sulfur oxidation	biolink:BiologicalProcess
GO:0042838	D-glucarate catabolic process	biolink:BiologicalProcess
GO:0042852	L-alanine biosynthetic process	biolink:BiologicalProcess
NCBIGene:1252364	moeB	biolink:Gene
GO:0006633	fatty acid biosynthetic process	biolink:BiologicalProcess
UMLS:C2643314	Gemellaceae	biolink:OrganismTaxon
NCBITaxon:1257	Peptostreptococcus	biolink:OrganismTaxon
NCBITaxon:1016	Capnocytophaga	biolink:OrganismTaxon
NCBITaxon:344618	Aeria	biolink:OrganismTaxon
NCBITaxon:538	Eikenella	biolink:OrganismTaxon
NCBITaxon:186803	Lachnospiraceae	biolink:OrganismTaxon
NCBITaxon:970	Selenomonas	biolink:OrganismTaxon
NCBITaxon:47670	Lautropia	biolink:OrganismTaxon
UMLS:C1911062	Moryella	biolink:OrganismTaxon
NCBITaxon:44259	Filifactor	biolink:OrganismTaxon
NCBITaxon:1129771	Leptotrichiaceae	biolink:OrganismTaxon
UMLS:C2630947	Dispar	biolink:OrganismTaxon
NCBITaxon:119852	Oscillospira	biolink:OrganismTaxon
UMLS:C1212549	Dorea	biolink:OrganismTaxon
NCBITaxon:186804	Peptostreptococcaceae	biolink:OrganismTaxon
NCBITaxon:186802	Eubacteriales	biolink:OrganismTaxon
NCBITaxon:543	Enterobacteriaceae	biolink:OrganismTaxon
UMLS:C1004293	Coprococcus	biolink:OrganismTaxon
NCBITaxon:1263	Ruminococcus	biolink:OrganismTaxon
UMLS:C1629861	Genus Odoribacter	biolink:OrganismTaxon
NCBITaxon:84107	Coriobacteriaceae	biolink:OrganismTaxon
NCBITaxon:872	Desulfovibrio	biolink:OrganismTaxon
NCBITaxon:666060	Ovatus	biolink:OrganismTaxon
NCBITaxon:31979	Clostridiaceae	biolink:OrganismTaxon
UMLS:C1080664	Rikenellaceae	biolink:OrganismTaxon
NCBITaxon:83770	Succinivibrio	biolink:OrganismTaxon
NCBITaxon:135858	Catenibacterium	biolink:OrganismTaxon
NCBITaxon:203492	Fusobacteriaceae	biolink:OrganismTaxon
UMLS:C1080663	Bacteroidales	biolink:OrganismTaxon
NCBITaxon:255528	Victivallaceae	biolink:OrganismTaxon
NCBITaxon:158846	Megamonas	biolink:OrganismTaxon
UMLS:C0314858	Anaerovibrio	biolink:OrganismTaxon
NCBITaxon:904	Acidaminococcus	biolink:OrganismTaxon
UMLS:C0376590	Torque	biolink:Phenomenon
NCBITaxon:2692469	Crossotus	biolink:OrganismTaxon
NCBITaxon:35493	Streptophyta	biolink:OrganismTaxon
UMLS:C1068054	Lachnobacterium	biolink:OrganismTaxon
NCBITaxon:641876	Elusimicrobiaceae	biolink:OrganismTaxon
NCBITaxon:577309	Paraprevotella	biolink:OrganismTaxon
UMLS:C3136288	Coprophilus	biolink:OrganismTaxon
UMLS:C0318072	Ruminobacter	biolink:OrganismTaxon
NCBITaxon:416916	Aggregatibacter	biolink:OrganismTaxon
NCBITaxon:283	Comamonas	biolink:OrganismTaxon
NCBITaxon:239759	Alistipes	biolink:OrganismTaxon
UMLS:C4612120	Monoglobus	biolink:OrganismTaxon
NCBITaxon:1980681	Colidextribacter	biolink:OrganismTaxon
NCBITaxon:1980693	Negativibacillus	biolink:OrganismTaxon
UMLS:C1500236	Anaerofustis	biolink:OrganismTaxon
NCBITaxon:1935176	Angelakisella	biolink:OrganismTaxon
UMLS:C1470086	Bryantella	biolink:OrganismTaxon
NCBITaxon:239934	Akkermansia	biolink:OrganismTaxon
UMLS:C3800287	Candidatus Soleaferrea	biolink:OrganismTaxon
