subject	origonal_subject	subject_name	subject_category	subject_mapped_with_taxon	subject_mapped_with_database	subject_mapped_with_level	object	origonal_object	object_name	object_category	object_mapped_with_taxon	object_mapped_with_database	object_mapped_with_level	article_curie	config_curator_name	config_curator_organization	file_name	pmc_file_caption	sample_size	p_value	multiple_testing_correction_method	assertion_strength	assertion_method	notes	knowledge_level	agent_type
MONDO:0004975	Alzheimer's Disease	Alzheimer disease	biolink:Disease	not applicable	babel	L1	UMLS:C3833417	Moderate activity (times per week)	Moderate activity	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC7562722	Skye Lane Goetz	Institute for Systems Biology	41467_2020_18871_MOESM4_ESM.xlsx	Supplementary Data 1-9	3064	0.000001	Benjamini Hochberg	0.031118	Spearman correlation	Associations between host/lifestyle factors and microbiome diversity. Associations were tested by fitting linear regression models of Shannon diversity on each analyte, adjusting for age, sex, race of the individual, the season in which the microbiome sample was taken, and the microbiome sequencing vendor. Only factors with multiple hypotheses correction FDR p-value < 0.05 are shown.	statistical_association	data_analysis_pipeline
MONDO:0004975	Alzheimer's Disease	Alzheimer disease	biolink:Disease	not applicable	babel	L1	UMLS:C4060778	Vigorous activity (times per week)	Vigorous activity	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC7562722	Skye Lane Goetz	Institute for Systems Biology	41467_2020_18871_MOESM4_ESM.xlsx	Supplementary Data 1-9	3064	0.000000	Benjamini Hochberg	0.034739	Spearman correlation	Associations between host/lifestyle factors and microbiome diversity. Associations were tested by fitting linear regression models of Shannon diversity on each analyte, adjusting for age, sex, race of the individual, the season in which the microbiome sample was taken, and the microbiome sequencing vendor. Only factors with multiple hypotheses correction FDR p-value < 0.05 are shown.	statistical_association	data_analysis_pipeline
MONDO:0004975	Alzheimer's Disease	Alzheimer disease	biolink:Disease	not applicable	babel	L1	UMLS:C4060778	Vigorous activity (duration)	Vigorous activity	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC7562722	Skye Lane Goetz	Institute for Systems Biology	41467_2020_18871_MOESM4_ESM.xlsx	Supplementary Data 1-9	3064	0.000000	Benjamini Hochberg	0.030302	Spearman correlation	Associations between host/lifestyle factors and microbiome diversity. Associations were tested by fitting linear regression models of Shannon diversity on each analyte, adjusting for age, sex, race of the individual, the season in which the microbiome sample was taken, and the microbiome sequencing vendor. Only factors with multiple hypotheses correction FDR p-value < 0.05 are shown.	statistical_association	data_analysis_pipeline
MONDO:0004975	Alzheimer's Disease	Alzheimer disease	biolink:Disease	not applicable	babel	L1	NCIT:C138901	BMI	Body Mass Index Finding	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC7562722	Skye Lane Goetz	Institute for Systems Biology	41467_2020_18871_MOESM4_ESM.xlsx	Supplementary Data 1-9	3064	0.000000	Benjamini Hochberg	-0.016758	Spearman correlation	Associations between host/lifestyle factors and microbiome diversity. Associations were tested by fitting linear regression models of Shannon diversity on each analyte, adjusting for age, sex, race of the individual, the season in which the microbiome sample was taken, and the microbiome sequencing vendor. Only factors with multiple hypotheses correction FDR p-value < 0.05 are shown.	statistical_association	data_analysis_pipeline
MONDO:0004975	Alzheimer's Disease	Alzheimer disease	biolink:Disease	not applicable	babel	L1	UMLS:C0424653	Weight	Weight symptom (finding)	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC7562722	Skye Lane Goetz	Institute for Systems Biology	41467_2020_18871_MOESM4_ESM.xlsx	Supplementary Data 1-9	3064	0.000000	Benjamini Hochberg	-0.001969	Spearman correlation	Associations between host/lifestyle factors and microbiome diversity. Associations were tested by fitting linear regression models of Shannon diversity on each analyte, adjusting for age, sex, race of the individual, the season in which the microbiome sample was taken, and the microbiome sequencing vendor. Only factors with multiple hypotheses correction FDR p-value < 0.05 are shown.	statistical_association	data_analysis_pipeline
MONDO:0004975	Alzheimer's Disease	Alzheimer disease	biolink:Disease	not applicable	babel	L1	EFO:0006335	Systolic BP	systolic blood pressure	biolink:PhenotypicFeature	not applicable	babel	L1	PMC:PMC7562722	Skye Lane Goetz	Institute for Systems Biology	41467_2020_18871_MOESM4_ESM.xlsx	Supplementary Data 1-9	3064	0.000000	Benjamini Hochberg	-0.004677	Spearman correlation	Associations between host/lifestyle factors and microbiome diversity. Associations were tested by fitting linear regression models of Shannon diversity on each analyte, adjusting for age, sex, race of the individual, the season in which the microbiome sample was taken, and the microbiome sequencing vendor. Only factors with multiple hypotheses correction FDR p-value < 0.05 are shown.	statistical_association	data_analysis_pipeline
MONDO:0004975	Alzheimer's Disease	Alzheimer disease	biolink:Disease	not applicable	babel	L1	UMLS:C0489786	Height	Height	biolink:InformationContentEntity	not applicable	babel	L1	PMC:PMC7562722	Skye Lane Goetz	Institute for Systems Biology	41467_2020_18871_MOESM4_ESM.xlsx	Supplementary Data 1-9	3064	0.000000	Benjamini Hochberg	0.018603	Spearman correlation	Associations between host/lifestyle factors and microbiome diversity. Associations were tested by fitting linear regression models of Shannon diversity on each analyte, adjusting for age, sex, race of the individual, the season in which the microbiome sample was taken, and the microbiome sequencing vendor. Only factors with multiple hypotheses correction FDR p-value < 0.05 are shown.	statistical_association	data_analysis_pipeline
MONDO:0004975	Alzheimer's Disease	Alzheimer disease	biolink:Disease	not applicable	babel	L1	PUBCHEM.COMPOUND:131753781	Triglycerides	TG(14:0/20:4(5Z,8Z,11Z,14Z)/22:1(13Z))	biolink:SmallMolecule	not applicable	babel	L1	PMC:PMC7562722	Skye Lane Goetz	Institute for Systems Biology	41467_2020_18871_MOESM4_ESM.xlsx	Supplementary Data 1-9	3064	0.000000	Benjamini Hochberg	-0.001646	Spearman correlation	Associations between host/lifestyle factors and microbiome diversity. Associations were tested by fitting linear regression models of Shannon diversity on each analyte, adjusting for age, sex, race of the individual, the season in which the microbiome sample was taken, and the microbiome sequencing vendor. Only factors with multiple hypotheses correction FDR p-value < 0.05 are shown.	statistical_association	data_analysis_pipeline
MONDO:0004975	Alzheimer's Disease	Alzheimer disease	biolink:Disease	not applicable	babel	L1	CHEBI:39026	LDL (small particle number)	low-density lipoprotein	biolink:ChemicalEntity	not applicable	babel	L1	PMC:PMC7562722	Skye Lane Goetz	Institute for Systems Biology	41467_2020_18871_MOESM4_ESM.xlsx	Supplementary Data 1-9	3064	0.000000	Benjamini Hochberg	-0.000264	Spearman correlation	Associations between host/lifestyle factors and microbiome diversity. Associations were tested by fitting linear regression models of Shannon diversity on each analyte, adjusting for age, sex, race of the individual, the season in which the microbiome sample was taken, and the microbiome sequencing vendor. Only factors with multiple hypotheses correction FDR p-value < 0.05 are shown.	statistical_association	data_analysis_pipeline
MONDO:0004975	Alzheimer's Disease	Alzheimer disease	biolink:Disease	not applicable	babel	L1	UMLS:C3714501	Insulin	Insulin Drug Class	biolink:ChemicalEntity	not applicable	babel	L1	PMC:PMC7562722	Skye Lane Goetz	Institute for Systems Biology	41467_2020_18871_MOESM4_ESM.xlsx	Supplementary Data 1-9	3064	0.000000	Benjamini Hochberg	-0.007223	Spearman correlation	Associations between host/lifestyle factors and microbiome diversity. Associations were tested by fitting linear regression models of Shannon diversity on each analyte, adjusting for age, sex, race of the individual, the season in which the microbiome sample was taken, and the microbiome sequencing vendor. Only factors with multiple hypotheses correction FDR p-value < 0.05 are shown.	statistical_association	data_analysis_pipeline
